id,timestamp,inputDataHash,processingSteps,decisionOutcome,featureVector,contextMetadata,decision,hasProcessingSteps,inputLength,outputLength,processingStepsCount,processingTime,riskScore
audit_1763786949489_ueymfdcga,2025-11-22T04:49:09.489Z,54ccb3c80b11f606b92a0eee579adbeab7e77830b91125a17a9008f265f34da5,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949481_okvrzey4o,2025-11-22T04:49:09.481Z,2251b99662d0cede14c4d43e81f34aefb2f042cefd75c4048e56a7634cf33cf8,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949474_ttr8gcnxt,2025-11-22T04:49:09.474Z,b8cc68f26886fb34f3c356d770d81237ed061514d3f0874013d9a70fed595da0,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949466_rvjnkorwa,2025-11-22T04:49:09.466Z,8f4c1fd8ec038bf4b4fe53e59cf56f0fe4776e884f7d762c5f75fc6b9c70b353,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949458_7btkutf6b,2025-11-22T04:49:09.458Z,57ff49e29fbe00a5c4279c87502460b616d00b1cbd09e9723d30062c1a8995f1,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949445_fh96q44r9,2025-11-22T04:49:09.445Z,89152906bec6bcc2b59e78d6e4ef88bbd94ad18ff57cb949d83350314f25462c,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949438_dcx981g4l,2025-11-22T04:49:09.438Z,e438ca14b0d27ea8e721b1908f649c527d615d5ad5aac6124ad7f88c3404c69f,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949430_gdcheawya,2025-11-22T04:49:09.430Z,4f62be1247768c5314bff0e16c786b83b82f9fbdbe7743591f9cb0f9cda4b427,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949422_b6o4gwgm8,2025-11-22T04:49:09.422Z,0441685eacfeac2ff5205875a20116cecf00e6e344a8e6565c87a8faef43f935,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949413_mlxmfcrab,2025-11-22T04:49:09.413Z,72b8d500aed7713ede6cdb599caa64fec586ba027d8678a33b6451385d30a1cc,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
